N,Jin,Jin_std,rho,rho_std,v,v_std
200,0.1212404022426379,0.0,0.18061072161502434,0.0,0.40166168924391654,0.0
300,0.1212404022426379,0.0,0.18061072161502434,0.0,0.40166168924391654,0.0
400,0.1212404022426379,0.0,0.18061072161502434,0.0,0.40166168924391654,0.0
500,0.1212404022426379,0.0,0.18061072161502434,0.0,0.40166168924391654,0.0
600,0.1212404022426379,0.0,0.18061072161502434,0.0,0.40166168924391654,0.0
700,0.1212404022426379,0.0,0.18061072161502434,0.0,0.40166168924391654,0.0
800,0.1212404022426379,0.0,0.18061072161502434,0.0,0.40166168924391654,0.0
